20130708,2405.48,2405.48,2405.48,2405.48,-67.87,5478.25
20130709,2404.59,2404.59,2404.59,2404.59,-0.89,4149.44
20130710,2473.09,2473.09,2473.09,2473.09,68.50,6114.98
20130711,2592.22,2592.22,2592.22,2592.22,119.13,12579.32
20130712,2535.26,2535.26,2535.26,2535.26,-56.96,8973.31
20130715,2570.96,2570.96,2570.96,2570.96,35.69,7475.79
20130716,2582.91,2582.91,2582.91,2582.91,11.95,6562.42
20130717,2544.52,2544.52,2544.52,2544.52,-38.39,6765.52
20130718,2503.41,2503.41,2503.41,2503.41,-41.10,5714.43
20130719,2442.43,2442.43,2442.43,2442.43,-60.98,7053.53
20130722,2458.26,2458.26,2458.26,2458.26,15.83,5328.35
20130723,2529.34,2529.34,2529.34,2529.34,71.08,7480.97
20130724,2511.92,2511.92,2511.92,2511.92,-17.42,6959.23
20130725,2500.12,2500.12,2500.12,2500.12,-11.79,6577.43
20130726,2485.15,2485.15,2485.15,2485.15,-14.98,4894.11
20130729,2431.59,2431.59,2431.59,2431.59,-53.56,5460.09
20130730,2446.58,2446.58,2446.58,2446.58,14.99,5519.36
20130731,2451.31,2451.31,2451.31,2451.31,4.73,4832.71
20130801,2509.82,2509.82,2509.82,2509.82,58.51,6260.40
20130802,2512.03,2512.03,2512.03,2512.03,2.21,6089.09
20130805,2546.98,2546.98,2546.98,2546.98,34.94,5534.22
20130806,2564.29,2564.29,2564.29,2564.29,17.31,7374.69
20130807,2549.73,2549.73,2549.73,2549.73,-14.55,7304.87
20130808,2546.54,2546.54,2546.54,2546.54,-3.19,5309.84
20130809,2557.11,2557.11,2557.11,2557.11,10.57,6460.00
20130812,2631.81,2631.81,2631.81,2631.81,74.70,9786.32
20130813,2638.86,2638.86,2638.86,2638.86,7.04,7839.36
20130814,2627.69,2627.69,2627.69,2627.69,-11.17,7594.21
20130815,2597.06,2597.06,2597.06,2597.06,-30.62,6195.19
20130816,2577.84,2577.84,2577.84,2577.84,-19.23,12036.96
20130819,2608.65,2608.65,2608.65,2608.65,30.81,7248.32
20130820,2587.54,2587.54,2587.54,2587.54,-21.11,7308.63
20130821,2583.42,2583.42,2583.42,2583.42,-4.11,5500.74
20130822,2578.66,2578.66,2578.66,2578.66,-4.77,5533.81
20130823,2559.63,2559.63,2559.63,2559.63,-19.03,6896.71
20130826,2614.12,2614.12,2614.12,2614.12,54.49,7037.10
20130827,2620.01,2620.01,2620.01,2620.01,5.89,6599.03
20130828,2605.70,2605.70,2605.70,2605.70,-14.31,8925.62
20130829,2594.80,2594.80,2594.80,2594.80,-10.91,6608.54
20130830,2589.87,2589.87,2589.87,2589.87,-4.93,8765.45
20130902,2597.07,2597.07,2597.07,2597.07,7.20,7951.02
20130903,2635.30,2635.30,2635.30,2635.30,38.23,8055.40
20130904,2631.05,2631.05,2631.05,2631.05,-4.26,7872.58
20130905,2621.01,2621.01,2621.01,2621.01,-10.03,6295.14
20130906,2638.97,2638.97,2638.97,2638.97,17.96,7334.01
20130909,2731.68,2731.68,2731.68,2731.68,92.71,14988.96
20130910,2772.36,2772.36,2772.36,2772.36,40.68,15485.60
20130911,2781.31,2781.31,2781.31,2781.31,8.96,16691.50
20130912,2809.39,2809.39,2809.39,2809.39,28.08,14517.32
20130913,2788.61,2788.61,2788.61,2788.61,-20.79,11077.50
20130916,2776.83,2776.83,2776.83,2776.83,-11.78,10538.33
20130917,2719.61,2719.61,2719.61,2719.61,-57.22,9946.00
20130918,2725.42,2725.42,2725.42,2725.42,5.81,7104.08
20130923,2769.99,2769.99,2769.99,2769.99,44.57,8012.84
20130924,2738.17,2738.17,2738.17,2738.17,-31.82,9785.30
20130925,2721.53,2721.53,2721.53,2721.53,-16.64,9051.84
20130926,2671.57,2671.57,2671.57,2671.57,-49.96,8623.68
20130927,2683.37,2683.37,2683.37,2683.37,11.80,6597.15
20130930,2699.12,2699.12,2699.12,2699.12,15.76,5951.40
20131008,2735.87,2735.87,2735.87,2735.87,36.75,8478.55
20131009,2749.06,2749.06,2749.06,2749.06,13.19,7627.76
20131010,2721.90,2721.90,2721.90,2721.90,-27.16,9032.97
20131011,2765.81,2765.81,2765.81,2765.81,43.91,9338.83
20131014,2770.33,2770.33,2770.33,2770.33,4.52,10008.13
20131015,2764.70,2764.70,2764.70,2764.70,-5.63,8917.35
20131016,2713.00,2713.00,2713.00,2713.00,-51.70,8897.98
20131017,2703.99,2703.99,2703.99,2703.99,-9.01,7122.25
20131018,2718.29,2718.29,2718.29,2718.29,14.31,6029.16
20131021,2769.02,2769.02,2769.02,2769.02,50.72,8490.98
20131022,2740.52,2740.52,2740.52,2740.52,-28.49,9070.30
